time_ms,bme_temp,dht_temp
2528796,29.60,29.80
2530823,29.60,29.80
2532849,29.63,29.80
2534875,29.61,29.90
2536901,29.62,29.90
2538926,29.61,29.90
2540952,29.61,29.90
2542978,29.61,29.90
2545004,29.61,29.90
2547030,29.63,29.90
2549056,29.62,29.90
2551082,29.61,29.80
2553108,29.59,29.90
2555134,29.62,29.90
2557160,29.62,29.90
2559186,29.64,29.90
2561212,29.64,29.80
2563238,29.63,29.90
2565264,29.61,29.90
2567290,29.60,29.90
2569317,29.61,29.90
2571343,29.60,29.90
2573369,29.59,29.90
2575395,29.60,29.90
2577421,29.63,29.90
2579447,29.61,29.90
2581473,29.60,29.90
2583499,29.60,29.90
2585525,29.64,29.90
2587551,29.67,29.90
2589577,29.65,29.90
2591604,29.67,29.90
2593630,29.65,29.90
2595656,29.65,29.90
2597682,29.65,29.90
2599708,29.65,29.90
2601734,29.66,29.90
2603760,29.68,29.90
2605786,29.67,29.90
2607812,29.67,29.90
2609838,29.65,29.90
2611865,29.67,29.90
2613891,29.69,29.90
2615917,29.71,29.90
2617943,29.72,29.90
2619969,29.75,29.90
2621995,29.75,29.90
2624021,29.78,29.90
2626047,29.77,29.90
2628073,29.77,30.00
2630099,29.74,30.00
2632125,29.73,29.90
2634151,29.76,30.00
2636177,29.74,30.00
2638203,29.73,30.00
2640229,29.74,30.00
2642255,29.75,29.90
2644282,29.75,29.90
2646308,29.78,29.90
2648334,29.78,30.00
2650360,29.78,30.00
2652386,29.80,30.00
2654412,29.81,29.90
2656438,29.79,30.00
2658464,29.81,29.90
2660491,29.82,30.00
2662517,29.82,30.00
2664543,29.84,30.00
2666569,29.86,30.00
2668595,29.88,30.00
2670621,29.88,30.00
2672647,29.91,30.00
2674673,29.92,30.00
2676699,29.91,30.00
2678725,29.89,30.10
2680750,29.86,30.10
2682776,29.85,30.10
